,forecast,real_wind,residuals,t_plus_x
2023-09-25 16:49:05.475,1.6148451185388484,2.726,1.1111548814611516,1.669
2023-09-25 16:49:05.500,1.71223565088629,2.474,0.7617643491137103,1.65
2023-09-25 16:49:05.525,1.5686072697150788,2.238,0.6693927302849212,1.637
2023-09-25 16:49:05.550,1.833601906465195,1.962,0.12839809353480502,1.635
2023-09-25 16:49:05.575,2.0993464852833763,1.756,-0.3433464852833763,1.656
2023-09-25 16:49:05.600,2.296163986573853,1.517,-0.7791639865738529,1.654
2023-09-25 16:49:05.625,2.363264575449563,1.345,-1.0182645754495632,1.651
2023-09-25 16:49:05.650,2.6660407009306346,1.271,-1.3950407009306347,1.681
2023-09-25 16:49:05.675,2.8939021077313907,1.21,-1.6839021077313907,1.759
2023-09-25 16:49:05.700,2.7390628016445246,1.147,-1.5920628016445246,1.966
2023-09-25 16:49:05.725,2.804136053235909,1.153,-1.6511360532359092,2.161
2023-09-25 16:49:05.750,2.495265087878323,1.17,-1.3252650878783232,2.324
2023-09-25 16:49:05.775,2.3780996510988293,1.238,-1.1400996510988293,2.479
2023-09-25 16:49:05.800,2.0333670421104344,1.304,-0.7293670421104343,2.671
2023-09-25 16:49:05.825,1.7499977373050146,1.341,-0.40899773730501465,2.741
2023-09-25 16:49:05.850,1.3680199301946498,1.356,-0.012019930194649753,2.781
2023-09-25 16:49:05.875,1.089243024328973,1.418,0.3287569756710269,2.819
2023-09-25 16:49:05.900,1.1816666440101586,1.388,0.20633335598984126,2.803
2023-09-25 16:49:05.925,0.9419291413250662,1.437,0.49507085867493383,2.726
2023-09-25 16:49:05.950,0.9480712139928196,1.49,0.5419287860071804,2.474
2023-09-25 16:49:05.975,1.142657540502908,1.489,0.3463424594970921,2.238
2023-09-25 16:49:06.000,1.0014561537043978,1.549,0.5475438462956022,1.962
2023-09-25 16:49:06.025,1.2321883391788346,1.598,0.36581166082116545,1.756
2023-09-25 16:49:06.050,1.1706675274116993,1.653,0.4823324725883007,1.517
2023-09-25 16:49:06.075,1.1460919629684652,1.675,0.5289080370315349,1.345
2023-09-25 16:49:06.100,1.234255963887186,1.725,0.49074403611281414,1.271
2023-09-25 16:49:06.125,1.2264997186880446,1.709,0.48250028131195544,1.21
2023-09-25 16:49:06.150,1.2127140853053604,1.72,0.5072859146946396,1.147
2023-09-25 16:49:06.175,1.3439543271890417,1.681,0.3370456728109583,1.153
2023-09-25 16:49:06.200,1.2638201037063763,1.67,0.4061798962936236,1.17
2023-09-25 16:49:06.225,1.2667266524588594,1.666,0.3992733475411405,1.238
2023-09-25 16:49:06.250,1.52435988419486,1.647,0.12264011580514,1.304
2023-09-25 16:49:06.275,1.4245060293783363,1.569,0.1444939706216637,1.341
2023-09-25 16:49:06.300,1.4287713314410238,1.496,0.06722866855897625,1.356
2023-09-25 16:49:06.325,1.4584343456203652,1.438,-0.02043434562036528,1.418
2023-09-25 16:49:06.350,1.5725415017162172,1.396,-0.1765415017162173,1.388
2023-09-25 16:49:06.375,1.5184311252715936,1.419,-0.09943112527159359,1.437
2023-09-25 16:49:06.400,1.6468055961013828,1.436,-0.21080559610138283,1.49
2023-09-25 16:49:06.425,1.6404377877886784,1.397,-0.24343778778867842,1.489
2023-09-25 16:49:06.450,1.5539704154565273,1.384,-0.16997041545652736,1.549
2023-09-25 16:49:06.475,1.545993027829337,1.368,-0.1779930278293369,1.598
2023-09-25 16:49:06.500,1.517042785297126,1.382,-0.1350427852971261,1.653
2023-09-25 16:49:06.525,1.463553976325853,1.434,-0.029553976325852993,1.675
2023-09-25 16:49:06.550,1.4577184286156886,1.495,0.03728157138431154,1.725
2023-09-25 16:49:06.575,1.3811358325487215,1.558,0.17686416745127853,1.709
2023-09-25 16:49:06.600,1.2911269392393754,1.59,0.2988730607606247,1.72
2023-09-25 16:49:06.625,1.2548943854028094,1.607,0.3521056145971906,1.681
2023-09-25 16:49:06.650,1.155736069917127,1.66,0.5042639300828728,1.67
2023-09-25 16:49:06.675,1.1995044739986902,1.745,0.5454955260013099,1.666
2023-09-25 16:49:06.700,1.375649080681794,1.821,0.4453509193182059,1.647
2023-09-25 16:49:06.725,1.2723109327276418,1.901,0.6286890672723582,1.569
2023-09-25 16:49:06.750,1.2782437949814982,2.005,0.7267562050185017,1.496
2023-09-25 16:49:06.775,1.2962361276826622,2.047,0.750763872317338,1.438
2023-09-25 16:49:06.800,1.2547543967344446,2.069,0.8142456032655554,1.396
2023-09-25 16:49:06.825,1.351064107930489,2.095,0.7439358920695112,1.419
2023-09-25 16:49:06.850,1.3562747153621777,2.143,0.7867252846378221,1.436
2023-09-25 16:49:06.875,1.4394462420511254,2.206,0.7665537579488746,1.397
2023-09-25 16:49:06.900,1.47408994021022,2.227,0.7529100597897798,1.384
2023-09-25 16:49:06.925,1.4864836767653506,2.25,0.7635163232346494,1.368
2023-09-25 16:49:06.950,1.6245099253974056,2.271,0.6464900746025943,1.382
2023-09-25 16:49:06.975,1.6924661636373293,2.28,0.5875338363626705,1.434
2023-09-25 16:49:07.000,1.7917413353324225,2.225,0.43325866466757756,1.495
2023-09-25 16:49:07.025,1.7433430052772527,2.204,0.46065699472274746,1.558
2023-09-25 16:49:07.050,1.8882355364235925,2.2,0.31176446357640764,1.59
2023-09-25 16:49:07.075,2.010357530197542,2.131,0.12064246980245796,1.607
2023-09-25 16:49:07.100,1.9435067759249756,2.039,0.09549322407502459,1.66
2023-09-25 16:49:07.125,2.0004103474521506,1.919,-0.08141034745215059,1.745
2023-09-25 16:49:07.150,1.9112021905033187,1.794,-0.1172021905033187,1.821
2023-09-25 16:49:07.175,2.018719266561284,1.679,-0.33971926656128404,1.901
2023-09-25 16:49:07.200,2.092994236948651,1.565,-0.527994236948651,2.005
2023-09-25 16:49:07.225,2.0571591845971207,1.447,-0.6101591845971206,2.047
2023-09-25 16:49:07.250,2.067769581558762,1.381,-0.6867695815587618,2.069
2023-09-25 16:49:07.275,2.104774024820654,1.342,-0.7627740248206538,2.095
2023-09-25 16:49:07.300,2.0951368006849,1.234,-0.8611368006848998,2.143
2023-09-25 16:49:07.325,1.9820325165933863,1.191,-0.7910325165933862,2.206
2023-09-25 16:49:07.350,2.0261785032339126,1.185,-0.8411785032339125,2.227
2023-09-25 16:49:07.375,1.907859268337811,1.23,-0.6778592683378111,2.25
2023-09-25 16:49:07.400,1.7189741210561438,1.501,-0.2179741210561439,2.271
2023-09-25 16:49:07.425,1.6729127246740227,1.706,0.03308727532597722,2.28
2023-09-25 16:49:07.450,1.4844763802881764,1.939,0.45452361971182365,2.225
2023-09-25 16:49:07.475,1.335716233975523,2.11,0.7742837660244768,2.204
2023-09-25 16:49:07.500,1.3110981853926766,2.206,0.8949018146073233,2.2
2023-09-25 16:49:07.525,1.1725827889766254,2.284,1.1114172110233744,2.131
2023-09-25 16:49:07.550,1.0224302526041709,2.497,1.474569747395829,2.039
2023-09-25 16:49:07.575,1.2038058279981154,2.701,1.4971941720018846,1.919
2023-09-25 16:49:07.600,1.1420587115115342,2.791,1.6489412884884658,1.794
2023-09-25 16:49:07.625,1.0583943879621562,2.821,1.762605612037844,1.679
2023-09-25 16:49:07.650,1.2379735612792295,2.719,1.4810264387207703,1.565
2023-09-25 16:49:07.675,0.8419237015940948,2.665,1.8230762984059052,1.447
2023-09-25 16:49:07.700,1.3508290457778043,2.609,1.2581709542221957,1.381
2023-09-25 16:49:07.725,1.7142315324805713,2.588,0.8737684675194288,1.342
2023-09-25 16:49:07.750,1.9361368104342866,2.641,0.7048631895657134,1.234
2023-09-25 16:49:07.775,2.4039017610564355,2.665,0.26109823894356454,1.191
2023-09-25 16:49:07.800,2.425638339378487,2.601,0.17536166062151315,1.185
2023-09-25 16:49:07.825,2.4025694407093283,2.56,0.15743055929067173,1.23
2023-09-25 16:49:07.850,2.405622498193595,2.648,0.24237750180640516,1.501
2023-09-25 16:49:07.875,2.7184058350211466,2.781,0.0625941649788535,1.706
2023-09-25 16:49:07.900,2.623324608057742,2.836,0.2126753919422577,1.939
2023-09-25 16:49:07.925,2.4038160127772477,2.996,0.5921839872227523,2.11
2023-09-25 16:49:07.950,2.3253053564614716,3.024,0.6986946435385284,2.206
2023-09-25 16:49:07.975,2.241614620100962,3.086,0.844385379899038,2.284
2023-09-25 16:49:08.000,2.4098106471324394,3.093,0.6831893528675606,2.497
2023-09-25 16:49:08.025,2.4004867850878657,3.224,0.8235132149121345,2.701
2023-09-25 16:49:08.050,2.382700007528392,3.307,0.924299992471608,2.791
2023-09-25 16:49:08.075,2.488068225212508,3.407,0.9189317747874921,2.821
2023-09-25 16:49:08.100,2.40211503279975,3.377,0.97488496720025,2.719
2023-09-25 16:49:08.125,2.371021529510542,3.293,0.9219784704894582,2.665
2023-09-25 16:49:08.150,2.3418097427766478,3.262,0.9201902572233522,2.609
2023-09-25 16:49:08.175,2.6627232696245544,3.111,0.4482767303754458,2.588
2023-09-25 16:49:08.200,2.4294138640751406,3.042,0.6125861359248592,2.641
2023-09-25 16:49:08.225,2.8071608383090174,2.999,0.1918391616909827,2.665
2023-09-25 16:49:08.250,2.9948106515978012,3.004,0.00918934840219876,2.601
2023-09-25 16:49:08.275,3.0035446701764013,2.867,-0.13654467017640126,2.56
2023-09-25 16:49:08.300,2.9622855813158613,2.842,-0.1202855813158612,2.648
2023-09-25 16:49:08.325,3.0637555086061945,2.804,-0.2597555086061947,2.781
2023-09-25 16:49:08.350,3.0862895046265284,2.956,-0.13028950462652844,2.836
2023-09-25 16:49:08.375,3.076253660098452,3.17,0.09374633990154813,2.996
2023-09-25 16:49:08.400,3.227178725520255,3.333,0.10582127447974532,3.024
2023-09-25 16:49:08.425,2.8314630197812045,3.514,0.6825369802187953,3.086
2023-09-25 16:49:08.450,2.8966866643248297,3.648,0.7513133356751704,3.093
2023-09-25 16:49:08.475,2.8194988224282267,3.708,0.8885011775717735,3.224
2023-09-25 16:49:08.500,2.7015187720047455,3.734,1.0324812279952544,3.307
2023-09-25 16:49:08.525,2.5568197476753856,3.896,1.3391802523246144,3.407
2023-09-25 16:49:08.550,2.691759178033375,3.933,1.2412408219666249,3.377
2023-09-25 16:49:08.575,2.4937691122912873,3.941,1.4472308877087126,3.293
2023-09-25 16:49:08.600,2.555996669623036,3.808,1.2520033303769638,3.262
2023-09-25 16:49:08.625,2.526316689981942,3.634,1.107683310018058,3.111
2023-09-25 16:49:08.650,2.5161106785095417,3.49,0.9738893214904585,3.042
2023-09-25 16:49:08.675,3.030334942024373,3.348,0.31766505797562683,2.999
2023-09-25 16:49:08.700,3.21498517937398,3.237,0.022014820626020004,3.004
2023-09-25 16:49:08.725,3.4904008974243492,3.183,-0.3074008974243494,2.867
2023-09-25 16:49:08.750,3.6981717039789874,3.144,-0.5541717039789873,2.842
2023-09-25 16:49:08.775,3.79840554389868,2.983,-0.81540554389868,2.804
