index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
559,2024-04-15 15:05:44.961301,1.62,1.605,1.6199930730262728,0.0267530835718745,1.5626724057985577,-0.6815872416800837,0.4321428571428571,12.663804054260254
560,2024-04-15 15:05:44.982758,1.62,1.605,1.6200025706332792,0.027804320977816,1.5626073251788573,-0.681560934453218,0.4321428571428571,12.685261011123657
561,2024-04-15 15:05:45.004495,1.62,1.605,1.6200096289512431,0.0285650371509365,1.5623641501362109,-0.6814626382183444,0.4321428571428571,12.706997871398926
562,2024-04-15 15:05:45.025928,1.62,1.605,1.62001476646042,0.0291135487702505,1.5619921461136843,-0.6813122686283142,0.4321428571428571,12.728430986404419
563,2024-04-15 15:05:45.047455,1.62,1.605,1.620018492274666,0.0295074192040415,1.5615274217288415,-0.6811244224608958,0.4321428571428571,12.749958038330078
564,2024-04-15 15:05:45.069059,1.62,1.605,1.6200211884856162,0.0297886340224368,1.560996241923112,-0.6809097170805226,0.4321428571428571,12.771561861038208
565,2024-04-15 15:05:45.090513,1.62,1.605,1.6200231344533964,0.0299877894376923,1.5604176931712657,-0.6806758679167013,0.4321428571428571,12.793015956878662
566,2024-04-15 15:05:45.113464,1.615,1.605,1.615332173391617,0.0174787582547274,1.552130887218694,-0.6773263869824726,0.4335714285714285,12.815967082977295
567,2024-04-15 15:05:45.135331,1.615,1.605,1.6149673581959725,0.0199361942607747,1.552943232366263,-0.6776547281984525,0.4335714285714285,12.837833881378174
568,2024-04-15 15:05:45.158302,1.615,1.605,1.614959955684989,0.0227010845555198,1.553937386879663,-0.6780565496891107,0.4335714285714285,12.860805034637451
569,2024-04-15 15:05:45.180000,1.615,1.605,1.6149764190383171,0.0247930284481024,1.5545214012918072,-0.6782925960370731,0.4328571428571429,12.882503032684326
570,2024-04-15 15:05:45.201722,1.61,1.605,1.6102978952198526,0.0136724824951235,1.5471614142329178,-0.6753178820966597,0.4342857142857143,12.904224872589111
571,2024-04-15 15:05:45.224060,1.615,1.605,1.6146346454178109,0.0297860639883743,1.556166377666542,-0.6789574056673908,0.4328571428571429,12.926563024520874
572,2024-04-15 15:05:45.245874,1.61,1.605,1.6103074373687836,0.0182809670667589,1.5486070994895138,-0.6759022220099261,0.4342857142857143,12.948376893997192
