datetime,z_tof,z_bar,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-17 16:39:16.375836,nan,-0.45797239126782047,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.400542,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.426610,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.451793,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.477107,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.503725,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.533435,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.558604,nan,0.21468041469988608,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.582958,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.613051,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.637151,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.662522,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.692149,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.716873,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.741938,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.768580,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.797771,nan,-0.049167728331209325,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.822784,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.847687,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.872092,nan,0.08275537425336423,nan,0.5,0.0,3.0,-1.0,0.01
2024-04-17 16:39:16.897443,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.923526,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.948148,nan,-0.06220250871671311,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.972374,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:16.998444,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.024353,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.049104,nan,-0.3390835639352812,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.075029,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.102535,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.126461,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.150942,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.180792,nan,-0.18108889311063148,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.206825,nan,-0.19412774070917804,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.234028,nan,-0.6029324730935305,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.259164,nan,-0.7478883661222336,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.283992,nan,-0.7478883661222336,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.308264,nan,-0.7478883661222336,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.334173,nan,-0.7478883661222336,nan,0.5,0.0,3.0,-1.0,0.0
2024-04-17 16:39:17.364190,nan,-0.7478883661222336,nan,0.5,0.0,3.0,-1.0,0.0
