datetime,z_ref,z,z_hat,v_hat,alpha_1,alpha_0,tau
2024-04-09 18:49:58.339459,1.29,1.315,1.290303537248637,0.050499067647454925,4.073222406392173,-1.6642846836177312,0.415
2024-04-09 18:49:58.362851,1.29,1.315,1.289942589888971,0.052808729126991596,4.073238412903168,-1.6642771967390977,0.415
2024-04-09 18:49:58.387728,1.295,1.315,1.2946263774577382,0.06788668355729244,4.073342568641327,-1.664228475843412,0.4135714285714286
2024-04-09 18:49:58.411115,1.295,1.315,1.2950080487072495,0.06756401347340568,4.0733403251825155,-1.6642295253331578,0.4135714285714286
2024-04-09 18:49:58.434843,1.295,1.315,1.2950295858121985,0.06637159939562605,4.073332079676377,-1.6642333828294447,0.4135714285714286
2024-04-09 18:49:58.458480,1.295,1.315,1.2950235618159494,0.06542167811139385,4.073325513924579,-1.6642364546850619,0.4135714285714286
2024-04-09 18:49:58.482519,1.3,1.315,1.2997091307899284,0.07716613559297719,4.073406556897736,-1.664198535423497,0.41214285714285714
2024-04-09 18:49:58.506810,1.3,1.315,1.3000703600133743,0.07433329535762391,4.073386955570587,-1.664207707299367,0.41214285714285714
2024-04-09 18:49:58.530054,1.305,1.315,1.304766957961826,0.08374839730376844,4.073451869190201,-1.6641773308707541,0.4107142857142857
2024-04-09 18:49:58.553436,1.305,1.315,1.3051145059450846,0.07913716774056766,4.07341997793376,-1.6641922554024895,0.4107142857142857
2024-04-09 18:49:58.578087,1.305,1.315,1.3051074995339893,0.07480602309876656,4.073390042037776,-1.6642062657704981,0.4107142857142857
2024-04-09 18:49:58.601346,1.325,1.315,1.3238475518713042,0.12134177744998118,4.073710926878843,-1.6640560779630056,0.4042857142857143
2024-04-09 18:49:58.624880,1.315,1.315,1.3159060131748979,0.08479670880559911,4.073458692365097,-1.6641741421488936,0.40714285714285714
2024-04-09 18:49:58.650328,1.325,1.315,1.3245747745258556,0.10197735569361475,4.073577059601572,-1.6641187340365144,0.4042857142857143
2024-04-09 18:49:58.676065,1.325,1.315,1.3252150460951448,0.09331787068007091,4.073517206579681,-1.6641467532604608,0.4042857142857143
2024-04-09 18:49:58.699546,1.33,1.315,1.3298929214046986,0.09765868993217276,4.073547005431155,-1.6641328025055193,0.40285714285714286
2024-04-09 18:49:58.722922,1.33,1.315,1.330208031099808,0.08927980003407376,4.073489120234042,-1.6641599040383914,0.40285714285714286
2024-04-09 18:49:58.748045,1.34,1.315,1.3395593897411817,0.10708424466610059,4.07361170494283,-1.6641025068283373,0.4
2024-04-09 18:49:58.773370,1.34,1.315,1.3402455830976072,0.09719489896926131,4.073543388906001,-1.6641344961684126,0.4
2024-04-09 18:49:58.796917,1.345,1.315,1.344918706553132,0.10049695360983137,4.07356600003657,-1.6641239077031125,0.3985714285714286
2024-04-09 18:49:58.820427,1.34,1.315,1.3405353225796435,0.07890560121635004,4.073417123964108,-1.6641936287267725,0.4
2024-04-09 18:49:58.845797,1.34,1.315,1.3401320111290644,0.07358457923181085,4.0733804158105045,-1.6642108208491189,0.4
2024-04-09 18:49:58.870003,1.345,1.315,1.3447661416862537,0.0830320238327167,4.073445435892849,-1.6641803669743354,0.3985714285714286
2024-04-09 18:49:58.893238,1.34,1.315,1.340418242305839,0.06615713736143078,4.0733291664956965,-1.6642348283417976,0.4
2024-04-09 18:49:58.918321,1.34,1.315,1.3400461964073076,0.0642931044261626,4.0733163258023675,-1.6642408433976221,0.4
2024-04-09 18:49:58.945147,1.34,1.315,1.340011770958189,0.06381784453039292,4.073313054392544,-1.6642423759460176,0.4
